Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
US,US-NY,NY-6,468500,415750,34143500,813125,3110800,10784000,3102000,140940000,1810200,1992300,4370250,365000,722200
US,US-NY,NY-7,743500,660650,53922750,1292175,4936800,17075000,4930000,222795000,2867300,3160650,6952500,578750,1144400
US,US-NY,NY-8,319800,283200,23292000,553925,2118700,7346000,2113000,95917500,1232700,1356300,2975250,248950,492200
US,US-NY,NY-9,547100,486850,39966500,952250,3646500,12663000,3633000,165240000,2124500,2333925,5130000,427800,848400
US,US-OH,OH-1,1039900,916250,75580250,1792050,6840600,23691000,6835000,307027500,3975000,4354275,9597000,806350,1595000
US,US-OH,OH-10,576000,509650,41909750,996800,3811300,13189000,3802000,172680000,2216300,2438250,5352000,447600,886400
US,US-OH,OH-11,750000,663800,54575750,1298300,4965500,17173000,4952500,225187500,2886600,3179100,6972750,582650,1154800
US,US-OH,OH-12,887600,780850,63768000,1527225,5824600,20154000,5824000,260790000,3379200,3705300,8164500,687300,1353600
US,US-OH,OH-13,535700,472350,39057000,923925,3532700,12231000,3523500,160200000,2055200,2261175,4952250,415450,823000
US,US-OH,OH-14,709700,627800,51735750,1227875,4697200,16270000,4683500,213195000,2733600,3006375,6590250,551650,1092600
US,US-OH,OH-15,938700,830350,67905750,1624075,6198000,21401000,6195500,278662500,3595700,3953325,8709750,727250,1440000
US,US-OH,OH-16,605500,535500,44069250,1047350,4005400,13870000,3995000,181680000,2330100,2563725,5622750,470450,931600
US,US-OH,OH-2,782200,691900,56824250,1353325,5172700,17911000,5162000,233857500,3008300,3306300,7261500,607800,1201800
US,US-OH,OH-3,706400,627200,51046250,1226700,4682400,16136000,4680500,210847500,2713700,2991525,6585750,547400,1084600
US,US-OH,OH-4,594500,525750,43136750,1028350,3929300,13594000,3922500,177600000,2283700,2513550,5518500,461350,912600
US,US-OH,OH-5,591600,521100,43137750,1019250,3897900,13492000,3887000,177090000,2268000,2497575,5460000,458300,908200
US,US-OH,OH-6,415900,367200,30291000,718225,2745200,9507000,2739500,124207500,1596800,1755525,3849750,322700,638800
US,US-OH,OH-7,544600,482200,39563750,943125,3605300,12469000,3597500,163282500,2095500,2306550,5064750,423100,838000
US,US-OH,OH-8,517800,459050,37690250,897825,3433600,11878000,3425000,155587500,1996600,2197200,4824000,402550,799200
US,US-OH,OH-9,483400,426150,35243000,833475,3188200,11037000,3178500,144915000,1855100,2041950,4467750,374800,742600
US,US-OK,OK-1,665000,592550,48160250,1158900,4424600,15269000,4422500,199552500,2567000,2831250,6231000,516900,1024000
US,US-OK,OK-2,366900,325950,26576750,637550,2434700,8417000,2432500,109890000,1414200,1557525,3425250,285200,564000
US,US-OK,OK-3,377700,335450,27439500,656075,2507100,8671000,2503000,113340000,1456700,1604400,3525000,293750,581600
US,US-OK,OK-4,445300,395750,32280250,774075,2956300,10219000,2953500,133395000,1716800,1891575,4159500,346300,684800
US,US-OK,OK-5,852800,756000,61790500,1478625,5644700,19503000,5641000,254205000,3276000,3607575,7930500,661200,1306400
US,US-OR,OR-1,665200,590350,48670000,1154700,4422500,15426000,4403500,201030000,2585900,2829900,6213000,520850,1031600
US,US-OR,OR-2,693400,611750,50505250,1196550,4573200,15911000,4563500,206242500,2666200,2918925,6421500,540250,1066400
US,US-OR,OR-3,776200,687750,56603750,1345225,5146800,17903000,5130500,233100000,3001800,3293100,7231500,606750,1197000
US,US-OR,OR-4,516400,456650,37654000,893200,3417100,11882000,3406500,154882500,1992700,2186625,4799250,403050,795600
US,US-OR,OR-5,655400,580700,47808500,1135775,4345800,15116000,4332000,197070000,2535300,2781150,6105750,511900,1012200
US,US-PA,PA-1,1588800,1401300,116428750,2740900,10488300,36533000,10451500,475200000,6122400,6694125,14700000,1236900,2449200
US,US-PA,PA-10,996000,873250,73110250,1708075,6542500,22791000,6511000,298725000,3823100,4188825,9137250,773800,1528400
US,US-PA,PA-11,855400,750250,62848000,1467425,5623300,19596000,5593500,257257500,3287700,3602775,7854000,665350,1314200
US,US-PA,PA-12,762400,668300,55792500,1307200,5002900,17416000,4983500,227947500,2921700,3205425,7002000,591800,1168200
US,US-PA,PA-13,759300,665050,55823000,1300825,4985700,17382000,4958500,228300000,2916100,3194850,6958500,590450,1165600
US,US-PA,PA-14,953100,836900,70250500,1636975,6280900,21930000,6239500,288397500,3678700,4026225,8770500,743300,1468800
US,US-PA,PA-15,607200,532450,44660750,1041450,3992800,13925000,3969500,183022500,2336200,2559675,5574750,472600,933200
US,US-PA,PA-16,877300,769450,64465750,1505000,5766800,20107000,5737000,263707500,3372600,3692625,8057250,682350,1348400
US,US-PA,PA-17,798700,701700,58534500,1372550,5257600,18313000,5232500,239985000,3071400,3366675,7357500,621100,1228400
US,US-PA,PA-18,1433700,1259000,105077500,2462600,9432700,32847000,9388000,430440000,5509800,6038625,13196250,1115250,2204200
US,US-PA,PA-2,999200,875300,73317000,1712075,6560500,22850000,6526000,300090000,3834000,4201050,9161250,776050,1532600
US,US-PA,PA-3,1145200,1002000,83818000,1959875,7505300,26110000,7470500,342525000,4380800,4804725,10482000,887800,1751200
US,US-PA,PA-4,1217700,1074000,89308250,2100725,8048700,28051000,8009500,367050000,4704300,5150400,11279250,949600,1880400
US,US-PA,PA-5,1156700,1016300,84806750,1987850,7617200,26549000,7578000,348127500,4452600,4876950,10656750,899700,1779800
US,US-PA,PA-6,1139800,1003350,83427000,1962525,7512600,26158000,7482500,341632500,4386600,4804125,10523250,886800,1753800
US,US-PA,PA-7,960700,844100,70488500,1651100,6326300,22040000,6294500,289215000,3697600,4051500,8849250,747050,1478000
US,US-PA,PA-8,937700,820600,68892750,1605050,6148100,21421000,6118000,281010000,3594300,3938550,8585250,727700,1438600
US,US-PA,PA-9,744700,652250,54750250,1275825,4888900,17041000,4863000,223755000,2859300,3132900,6827250,578750,1143400
US,US-RI,RI-1,377600,334200,27479500,653625,2499700,8674000,2493000,113220000,1455600,1600275,3513750,294500,581200
US,US-RI,RI-2,339600,300150,24746750,587050,2245900,7801000,2239000,101872500,1308900,1437750,3153750,264850,522800
US,US-SC,SC-1,1360700,1202350,98942750,2351750,8991000,31156000,8969000,408735000,5235000,5761875,12624750,1057850,2091600
US,US-SC,SC-2,1168300,1037350,84727500,2028975,7751100,26804000,7740500,351840000,4506600,4971000,10911000,909100,1799200
US,US-SC,SC-3,721600,637650,52526500,1247200,4770000,16522000,4756500,217230000,2777400,3059400,6693000,560650,1109200
US,US-SC,SC-4,1044800,925900,75990250,1810975,6924100,23978000,6907500,315120000,4031800,4440750,9731250,813050,1609800
US,US-SC,SC-5,1299100,1149450,94486500,2248275,8594500,29772000,8574500,390990000,5004800,5511600,12073500,1011400,1997800
US,US-SC,SC-6,848900,753250,61496500,1473325,5626400,19452000,5620500,255097500,3269300,3607800,7923000,659950,1305600
US,US-SC,SC-7,1176100,1043350,85396250,2040675,7797700,27024000,7784000,354045000,4540800,4999575,10976250,918450,1811000
US,US-SD,SD-AT LARGE,438300,386800,31818750,756500,2887900,10030000,2885500,129652500,1680400,1842075,4052250,341350,670200
US,US-TN,TN-1,940800,825500,68024250,1614550,6151400,21322000,6158000,274125000,3573600,3904425,8627250,727600,1434800
US,US-TN,TN-2,1045600,917450,75510250,1794400,6835200,23680000,6844000,304342500,3969000,4336800,9590250,808350,1594600
US,US-TN,TN-3,920700,807750,66511000,1579850,6018900,20854000,6025500,268215000,3495600,3819750,8442000,711800,1403800
US,US-TN,TN-4,1005200,884100,72639250,1729125,6586800,22790000,6595500,293437500,3822100,4181550,9245250,776800,1535000
US,US-TN,TN-5,2261500,1990100,163702250,3892400,14827700,51325000,14848000,660255000,8605200,9415650,20821500,1749500,3455400
US,US-TN,TN-6,908700,797000,65625250,1558850,5937500,20573000,5945500,264292500,3447800,3766200,8329500,702250,1385200
US,US-TN,TN-7,912100,801100,65979500,1566800,5969600,20674000,5976000,266047500,3465900,3789375,8376750,705350,1392800
US,US-TN,TN-8,715900,627900,51712750,1228075,4676700,16201000,4684000,207915000,2715100,2964975,6561750,553000,1091600
US,US-TN,TN-9,1378500,1218600,99650000,2383425,9078300,31331000,9094000,404512500,5259800,5770275,12765000,1065350,2111600
US,US-TX,TX-1,436700,388500,31697750,759875,2903300,10033000,2899500,131197500,1686800,1858575,4086000,339900,674000
US,US-TX,TX-10,936900,832100,68120500,1627500,6218800,21504000,6209000,280957500,3614100,3977775,8745000,728600,1444800
US,US-TX,TX-11,422900,375550,30732250,734525,2807000,9710000,2802500,126930000,1631700,1796550,3946500,328900,651600
US,US-TX,TX-12,585700,521900,42515750,1020775,3900300,13462000,3895000,176317500,2265500,2497350,5490750,455850,906000
US,US-TX,TX-13,384800,342200,27965250,669250,2557800,8841000,2553500,115687500,1486300,1637175,3597750,299450,593600
US,US-TX,TX-14,449700,399550,32673250,781450,2986300,10325000,2981500,135030000,1735600,1911225,4200000,349900,693200
US,US-TX,TX-15,522200,466550,37865000,912500,3486200,12010000,3482500,157575000,2023400,2233650,4915500,406350,811200
US,US-TX,TX-16,570600,509350,41296250,996250,3803100,13099000,3802000,171397500,2205400,2434125,5361000,443400,881400
US,US-TX,TX-17,440000,390950,31946000,764600,2920500,10090000,2917500,131775000,1696400,1868100,4109250,342050,678600
US,US-TX,TX-18,1439500,1288850,103995500,2520775,9616700,33054000,9621000,432757500,5568800,6150825,13565250,1118250,2220200
US,US-TX,TX-19,371500,329950,26969250,645350,2465200,8524000,2462000,111285000,1432300,1577025,3468000,288900,572200
US,US-TX,TX-2,635900,564850,46155000,1104725,4219700,14584000,4215000,190462500,2451300,2699025,5937000,494500,979800
US,US-TX,TX-20,453100,402550,32873500,787350,3007000,10391000,3004000,135645000,1746300,1923075,4230000,352300,697400
US,US-TX,TX-21,864300,768000,62764250,1502075,5739100,19836000,5730500,259537500,3334800,3672675,8071500,672200,1331400
US,US-TX,TX-22,858800,762900,62479750,1492100,5701800,19732000,5692500,257415000,3315100,3645000,8020500,668500,1325600
US,US-TX,TX-23,793700,704150,57631500,1377200,5256700,18171000,5254500,236190000,3052300,3355125,7389000,616350,1220800
US,US-TX,TX-24,1110400,986900,80773500,1930275,7378900,25522000,7364500,333705000,4290400,4721625,10380000,864700,1716400
US,US-TX,TX-25,1023900,910900,74284250,1781600,6806000,23505000,6797500,307680000,3953000,4356375,9579750,796200,1578400
US,US-TX,TX-26,627300,556850,45592500,1089125,4162700,14413000,4155000,188175000,2421000,2663400,5855250,488550,967200
US,US-TX,TX-27,881200,785100,63755500,1535575,5861400,20205000,5859500,264225000,3399400,3750975,8259000,684600,1357200
US,US-TX,TX-28,649500,578150,47123750,1130800,4319700,14917000,4314500,195045000,2508200,2763675,6081000,505000,1001600
US,US-TX,TX-29,420000,373750,30441750,730975,2791300,9635000,2789000,125910000,1620200,1785825,3930000,326500,647600
US,US-TX,TX-3,819900,728450,59705000,1424775,5447400,18853000,5435500,246472500,3168500,3484200,7664250,638500,1267600
US,US-TX,TX-30,1283200,1146950,92752500,2243275,8561100,29487000,8561500,385620000,4961000,5479200,12081000,997500,1978600
US,US-TX,TX-31,790100,699050,57504500,1367250,5223500,18087000,5215500,235500000,3037300,3335625,7335750,614200,1215400
US,US-TX,TX-32,1511200,1346000,109532750,2632575,10043300,34659000,10046000,450570000,5823300,6410700,14149500,1173550,2327800
US,US-TX,TX-33,562800,500450,40946500,978775,3741900,12945000,3734500,169222500,2175800,2394450,5263500,438350,870400
US,US-TX,TX-34,333900,297000,24189750,580850,2218100,7653000,2216500,100080000,1287000,1419375,3121500,259450,514200
US,US-TX,TX-35,310600,275900,22512000,539675,2060700,7117000,2059000,92940000,1196400,1318350,2898750,241300,477800
US,US-TX,TX-36,534200,474050,38836000,927150,3543500,12266000,3537000,160245000,2060700,2267550,4982250,415900,823200
US,US-TX,TX-4,799000,710500,58117500,1389600,5312100,18384000,5301500,240225000,3089100,3398700,7470750,622150,1233400
US,US-TX,TX-5,764000,679950,55556500,1329900,5083600,17583000,5074000,229822500,2954800,3252075,7150500,594800,1179400
US,US-TX,TX-6,777700,690750,56615750,1351025,5164700,17876000,5154500,233437500,3003700,3303300,7259250,605500,1200800
US,US-TX,TX-7,1287000,1145350,93455250,2240125,8552900,29523000,8548000,384802500,4965800,5463450,12042000,1000500,1990800
US,US-TX,TX-8,691700,612750,50326500,1198475,4581500,15877000,4571500,207345000,2666700,2931525,6435000,538400,1064800
US,US-TX,TX-9,548300,487000,39807250,952500,3637200,12565000,3634000,163935000,2111800,2324850,5115000,425950,844200
US,US-UT,UT-1,613500,546300,44862250,1068550,4093400,14211000,4076500,185812500,2384200,2620275,5748750,479750,950600
US,US-UT,UT-2,1174500,1048250,85551000,2050200,7844600,27162000,7823000,354952500,4560200,5020275,11033250,916600,1817200
US,US-UT,UT-3,553100,492550,40410500,963350,3689200,12796000,3675000,167272500,2147500,2360850,5181000,432100,856400
US,US-UT,UT-4,718100,639650,52460750,1251050,4787600,16607000,4773000,216322500,2785600,3059400,6721500,560450,1111000
US,US-VA,VA-1,653400,580000,47434250,1134375,4333200,14980000,4328000,195547500,2516400,2771250,6095250,507700,1005800
US,US-VA,VA-10,1454100,1285250,105578250,2513825,9588000,33157000,9591000,428805000,5561200,6105300,13479000,1126700,2233000
US,US-VA,VA-11,1202100,1067700,87362500,2088250,7974500,27551000,7968000,358890000,4628300,5094750,11217000,933500,1853400
