Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
US,US-KY,KY-4,1022100,899600,75145000,1759550,6751400,23580000,6707500,309240000,3952100,4325400,9455250,800700,1578800
US,US-KY,KY-5,695800,611600,50994500,1196250,4585900,16009000,4560000,210060000,2683700,2938275,6427500,544400,1072000
US,US-KY,KY-6,1410400,1239450,102921250,2424250,9270900,32310000,9243000,418200000,5408600,5904750,12996750,1100850,2165800
US,US-LA,LA-1,624800,555700,45068000,1086875,4145000,14395000,4146500,186517500,2413500,2652975,5871750,491200,963000
US,US-LA,LA-2,572900,510000,41242750,997550,3802300,13191000,3806000,170812500,2211900,2433450,5391750,450100,882800
US,US-LA,LA-3,454600,405150,32731750,792450,3020300,10485000,3023500,135682500,1757900,1932900,4287000,357950,701600
US,US-LA,LA-4,389900,347350,28058000,679425,2589200,8987000,2592500,116280000,1506600,1656825,3675000,306850,601400
US,US-LA,LA-5,328100,292150,23633750,571425,2178100,7561000,2180000,97882500,1267700,1393800,3089250,258200,506000
US,US-LA,LA-6,442700,393950,31898500,770475,2937000,10197000,2939500,131880000,1709300,1878375,4161750,348150,682000
US,US-MA,MA-1,869700,766250,63317000,1498700,5732900,19792000,5716000,261120000,3330900,3674775,8033250,672150,1335200
US,US-MA,MA-2,739900,655250,53773750,1281600,4898900,16927000,4889000,221970000,2845800,3137325,6882000,574350,1138000
US,US-MA,MA-3,812500,719800,58957250,1407825,5378600,18563000,5371000,243225000,3121700,3441600,7562250,630400,1249200
US,US-MA,MA-4,880100,774950,64156250,1515700,5799000,20067000,5780500,263955000,3373000,3716775,8122500,681650,1350600
US,US-MA,MA-5,1006800,892500,73106250,1745600,6671600,23050000,6659500,302205000,3875400,4273425,9379500,782100,1549800
US,US-MA,MA-6,803100,711700,58356250,1392025,5321200,18387000,5310500,241177500,3091400,3408300,7478250,623800,1236200
US,US-MA,MA-7,923600,818050,66803000,1600000,6108400,21088000,6104500,275257500,3544200,3907200,8592000,716350,1416600
US,US-MA,MA-8,1509200,1347900,109288500,2636250,10070600,34641000,10061500,455805000,5832700,6454500,14192250,1170950,2327000
US,US-MA,MA-9,826500,730300,60190250,1428425,5462900,18908000,5448000,248122500,3178200,3499950,7665750,642400,1271400
US,US-MD,MD-1,448700,397250,32680000,776925,2972100,10312000,2963500,134872500,1731000,1903425,4173000,349800,690600
US,US-MD,MD-2,637400,565950,46424500,1106900,4234600,14677000,4222500,192097500,2464300,2712075,5951250,497050,983600
US,US-MD,MD-3,556200,493700,40505000,965600,3693900,12802000,3683500,167587500,2149600,2365875,5191500,433650,858000
US,US-MD,MD-4,510100,453700,37180500,887375,3396400,11786000,3385000,154072500,1977200,2175375,4772250,398200,788600
US,US-MD,MD-5,755500,674150,55350500,1318525,5054700,17628000,5029500,229935000,2951900,3236250,7095000,593000,1176600
US,US-MD,MD-6,704900,623200,51266750,1218950,4656800,16141000,4649500,209902500,2708000,2973750,6537000,547500,1083000
US,US-MD,MD-7,389800,345850,28372750,676450,2587600,8969000,2580500,117345000,1505700,1657125,3636750,303900,601200
US,US-MD,MD-8,1030800,914900,75054000,1789450,6845500,23736000,6826500,310312500,3984600,4383750,9624000,803300,1591200
US,US-ME,ME-1,2121000,1864450,156112750,3646750,13984000,48716000,13902000,640275000,8174300,8956800,19521000,1651250,3265000
US,US-ME,ME-2,1940800,1703850,142455750,3332625,12766600,44429000,12705500,582270000,7452700,8165400,17832000,1507550,2980400
US,US-MI,MI-1,887300,782050,65122250,1529625,5862800,20424000,5832000,267847500,3426500,3752550,8205000,691500,1368800
US,US-MI,MI-10,989200,873250,72670250,1708050,6548900,22809000,6512500,299595000,3828300,4193550,9162750,772050,1526400
US,US-MI,MI-11,2005500,1770650,146776750,3463350,13251500,46101000,13207500,600075000,7729500,8456025,18570750,1560800,3093200
US,US-MI,MI-12,1528300,1350150,111332500,2640750,10100600,34986000,10071500,458572500,5879000,6461250,14167500,1187450,2349000
US,US-MI,MI-13,1050500,922800,76805750,1804900,6910800,23958000,6881500,315225000,4026400,4422975,9651750,813750,1608200
US,US-MI,MI-14,1390300,1224250,101515000,2394575,9163500,31756000,9131000,416617500,5336300,5859375,12822750,1078550,2132800
US,US-MI,MI-2,1016400,898650,74509000,1757650,6734100,23420000,6702500,306952500,3930900,4308375,9438750,792000,1570200
US,US-MI,MI-3,1176700,1039800,86217000,2033800,7791900,27104000,7755500,355222500,4549100,4985925,10920750,916800,1817200
US,US-MI,MI-4,817400,722250,59878250,1412650,5413200,18838000,5386500,247185000,3161300,3465975,7588500,636850,1262800
US,US-MI,MI-5,979500,862900,71814750,1687750,6468600,22515000,6434500,295740000,3778900,4141725,9051000,762350,1509600
US,US-MI,MI-6,930600,819000,68138750,1601975,6132800,21324000,6108000,279060000,3578200,3920325,8585250,723050,1432400
US,US-MI,MI-7,932500,820900,68207250,1605650,6148500,21375000,6122000,280140000,3587300,3934950,8606250,724850,1433600
US,US-MI,MI-8,1458800,1285550,106479750,2514400,9605600,33348000,9589500,431895000,5589400,6117000,13457250,1131600,2238200
US,US-MI,MI-9,1245500,1098600,91127000,2148825,8229600,28593000,8193500,375322500,4801600,5268000,11525250,970000,1918000
US,US-MN,MN-1,1127100,987300,82255750,1931100,7366400,25539000,7364500,329332500,4280500,4677900,10306500,870600,1724000
US,US-MN,MN-2,1098900,966000,80099000,1889425,7211500,25001000,7206000,323520000,4191900,4588125,10103250,850550,1684200
US,US-MN,MN-3,906400,799500,66016750,1563725,5973200,20706000,5964500,268972500,3474800,3806850,8385750,703400,1396000
US,US-MN,MN-4,1095800,970400,79819750,1898000,7256800,25129000,7240500,328320000,4221000,4638075,10198500,852150,1691400
US,US-MN,MN-5,2241600,1984900,163044000,3882175,14832300,51313000,14809500,670335000,8622000,9482100,20832000,1740850,3447200
US,US-MN,MN-6,578000,510550,42103250,998625,3819400,13241000,3808500,173302500,2223900,2442750,5358000,449150,889200
US,US-MN,MN-7,603500,532800,43879750,1042125,3981900,13792000,3975000,179895000,2315800,2543100,5589000,468150,927200
US,US-MN,MN-8,694900,611250,50564750,1195500,4564100,15822000,4559500,205147500,2653800,2907750,6403500,538550,1065200
US,US-MO,MO-1,1832100,1611500,132623250,3151900,12011300,41531000,12023000,534547500,6965600,7618650,16866750,1417700,2800800
US,US-MO,MO-2,1016800,891150,73671000,1743000,6640900,23002000,6647500,294997500,3853700,4206450,9309750,785950,1550200
US,US-MO,MO-3,839400,737300,60781500,1442025,5495800,19025000,5500000,244575000,3189300,3483675,7713000,649700,1282200
US,US-MO,MO-4,849700,747650,61538750,1462300,5574600,19293000,5578000,248437500,3234900,3537525,7829250,658150,1299600
US,US-MO,MO-5,1361300,1201250,98484000,2349500,8957200,30946000,8963000,399652500,5193700,5688150,12588750,1054700,2084400
US,US-MO,MO-6,766800,674050,55554250,1318325,5026700,17402000,5028500,224227500,2918000,3190125,7056000,593900,1172800
US,US-MO,MO-7,938000,826150,67898750,1615875,6160600,21302000,6164000,274822500,3574000,3911325,8651250,726500,1435000
